iter	Passed	Remaining
403	9917	14630
404	9937	14599
405	9959	14570
406	9980	14541
407	10003	14515
408	10027	14490
409	10071	14492
410	10093	14464
411	10116	14437
412	10138	14409
413	10158	14379
414	10182	14353
415	10204	14325
416	10226	14296
417	10264	14291
418	10287	14265
419	10310	14238
420	10331	14208
421	10353	14181
422	10374	14151
423	10404	14134
424	10429	14110
425	10455	14087
426	10486	14071
427	10517	14056
428	10541	14031
429	10562	14000
430	10584	13973
431	10606	13945
432	10627	13916
433	10648	13887
434	10676	13867
435	10728	13878
436	10757	13858
437	10779	13830
438	10802	13804
439	10825	13778
440	10846	13748
441	10867	13719
442	10889	13691
443	10910	13662
444	10934	13637
445	10971	13628
446	10994	13601
447	11025	13584
448	11045	13554
449	11068	13528
450	11089	13499
451	11111	13471
452	11135	13445
453	11172	13436
454	11197	13412
455	11218	13383
456	11239	13354
457	11259	13324
458	11283	13298
459	11304	13270
460	11327	13244
461	11365	13235
462	11390	13211
463	11417	13189
464	11442	13164
465	11463	13136
466	11485	13108
467	11506	13079
468	11527	13051
469	11548	13022
470	11576	13002
471	11614	12992
472	11634	12962
473	11659	12939
474	11683	12913
475	11706	12886
476	11729	12860
477	11749	12831
478	11772	12804
479	11816	12801
480	11843	12779
481	11864	12750
482	11892	12729
483	11913	12701
484	11936	12674
485	11956	12645
486	11977	12617
487	12001	12591
488	12028	12569
489	12061	12553
490	12086	12529
491	12107	12501
492	12128	12472
493	12152	12448
494	12174	12420
495	12200	12396
496	12221	12368
497	12256	12355
498	12283	12332
499	12305	12305
500	12327	12278
501	12349	12251
502	12371	12223
503	12399	12202
504	12423	12177
505	12445	12150
506	12482	12137
507	12519	12125
508	12542	12098
509	12562	12070
510	12583	12042
511	12604	12014
512	12626	11986
513	12646	11958
514	12668	11930
515	12698	11910
516	12732	11895
517	12754	11868
518	12777	11842
519	12798	11814
520	12822	11789
521	12844	11761
522	12865	11734
523	12887	11707
524	12920	11690
525	12953	11673
526	12976	11647
527	12997	11619
528	13020	11592
529	13040	11564
530	13061	11536
531	13085	11511
532	13108	11485
533	13144	11470
534	13174	11450
535	13195	11423
536	13217	11396
537	13238	11368
538	13258	11339
539	13280	11312
540	13301	11285
541	13322	11257
542	13346	11233
543	13415	11245
544	13438	11219
545	13465	11196
546	13486	11169
547	13510	11143
548	13537	11120
549	13582	11112
550	13612	11092
551	13633	11064
552	13655	11038
553	13678	11011
554	13700	10985
555	13725	10960
556	13748	10934
557	13771	10908
558	13809	10894
559	13834	10870
560	13857	10843
561	13878	10816
562	13901	10790
563	13930	10769
564	13957	10745
565	13978	10718
566	14002	10693
567	14038	10677
568	14064	10653
569	14085	10626
570	14107	10599
571	14128	10572
