iter	Logloss
0	0.6838828585
1	0.6756758695
2	0.6677944307
3	0.6599701694
4	0.6523229627
5	0.6448642618
6	0.6381044798
7	0.6307607168
8	0.6242249531
9	0.6182903842
10	0.6124130912
11	0.6069213186
12	0.6015009633
13	0.5957389647
14	0.5901117085
15	0.5850258156
16	0.5799994014
17	0.575029666
18	0.5690778627
19	0.5646620672
20	0.5608811199
21	0.5566608507
22	0.5522753871
23	0.5483028933
24	0.5443794896
25	0.5405231838
26	0.5367839297
27	0.5333317212
28	0.5299049191
29	0.5265609931
30	0.5226200113
31	0.5196630174
32	0.516003373
33	0.5133211265
34	0.5106956551
35	0.5086172569
36	0.5060037001
37	0.5034329459
38	0.5005837547
39	0.4978748716
40	0.4955670918
41	0.4936047023
42	0.4913263036
43	0.4888979496
44	0.4867254249
45	0.4850351425
46	0.4826354868
47	0.4802090337
48	0.4781102962
49	0.4767057768
50	0.474964165
51	0.4730894446
52	0.4715531178
53	0.4696809419
54	0.4681159182
55	0.4657401133
56	0.4646341735
57	0.4629359198
58	0.4613835839
59	0.4600063598
60	0.4580676844
61	0.4563273446
62	0.4540338937
63	0.4526117877
64	0.4509130642
65	0.4494721541
66	0.4478707213
67	0.446368168
68	0.445146073
69	0.4439535771
70	0.4428633933
71	0.441992059
72	0.4401442764
73	0.4383256724
74	0.4371101505
75	0.4361491781
76	0.4347304315
77	0.4338356239
78	0.4329775996
79	0.4316340162
80	0.4302910376
81	0.4294147887
82	0.428587487
83	0.4270341929
84	0.4258789147
85	0.425034674
86	0.4239608567
87	0.4230375537
88	0.4217566027
89	0.4210155915
90	0.4199745635
91	0.419060749
92	0.4182711928
93	0.4172550096
94	0.4160752066
95	0.4150779466
96	0.4141204235
97	0.4131933987
98	0.4119392931
99	0.4109662111
100	0.4102405089
101	0.409375227
102	0.4087183966
103	0.4075041555
104	0.4065917853
105	0.4058453551
106	0.4053071556
107	0.404467409
108	0.4038865685
109	0.4030657667
110	0.4026608844
111	0.4019932516
112	0.4012855637
113	0.4002644426
114	0.399643089
115	0.3989581625
116	0.3983869184
117	0.3976423621
118	0.3968328409
119	0.3963230291
120	0.3956785731
121	0.3951344434
122	0.3946341962
123	0.3942913676
124	0.3936484543
125	0.3931842395
126	0.3925824608
127	0.3918024094
128	0.3910516121
129	0.3905841171
130	0.3902252805
131	0.3896267775
132	0.3891130172
133	0.3887067626
134	0.3880074731
135	0.3875935299
136	0.3871786136
137	0.3866327515
138	0.3861802776
139	0.385690997
140	0.3851951202
141	0.3845016591
142	0.3840549479
143	0.3835532597
144	0.3829967812
145	0.3826242647
146	0.3819756006
147	0.3815696974
148	0.3811618333
149	0.380315416
150	0.3798603258
151	0.3792917325
152	0.3788173322
153	0.3784438657
154	0.3778862856
155	0.3775733539
156	0.3771455776
157	0.3767712643
158	0.3764805558
159	0.3761223577
160	0.3754728947
161	0.3752198976
162	0.3746596857
163	0.3743345651
164	0.373990086
165	0.3733424147
166	0.3730041014
167	0.3727603172
168	0.3723250879
169	0.3719654531
170	0.3712933822
171	0.3708588106
172	0.3700605268
173	0.369638531
174	0.3693390948
175	0.3688396478
176	0.368477609
177	0.3679048017
178	0.3674738103
179	0.3671299655
180	0.3666147239
181	0.3662393781
182	0.365876821
183	0.3655319406
184	0.3650583345
185	0.3647329293
186	0.3644126041
187	0.3639649184
188	0.3634225306
189	0.3632382475
190	0.3628035711
191	0.3623967857
192	0.3619006049
193	0.3613774375
194	0.3609246198
195	0.360661382
196	0.3604400597
197	0.3600422479
198	0.3594302831
199	0.359054064
200	0.3587499636
201	0.3583668927
202	0.3580110416
203	0.3573750712
204	0.3570428165
205	0.3566094076
206	0.3563200892
207	0.3560618369
208	0.3557214359
209	0.3552098439
210	0.3548098632
211	0.3542554379
212	0.354029691
213	0.3537182675
214	0.3533342782
215	0.3529961256
216	0.3525886853
217	0.3522376184
218	0.3518972711
219	0.3514977127
220	0.3512131118
221	0.3508621773
222	0.3504895188
223	0.3502309993
224	0.3500005321
225	0.3496187561
226	0.3492798871
227	0.3490776538
228	0.3489129426
229	0.348704927
230	0.3483364666
231	0.3481046621
232	0.3477727609
233	0.3473694855
234	0.3471417476
235	0.3469307311
236	0.3466133233
237	0.3463866882
238	0.3460073028
